timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400445093;4089;1683400445093;4089
1683400445094;4092;1683400445094;4091
1683400445094;4087;1683400445094;4094
1683400445095;4095;1683400445095;4087
1683400445095;4095;1683400445095;4084
1683400445095;4090;1683400445095;4093
1683400445096;4090;1683400445096;4091
1683400445096;4089;1683400445096;4092
1683400445097;4093;1683400445097;4091
1683400445097;4095;1683400445097;4095
1683400445098;4093;1683400445098;4091
1683400445098;4095;1683400445098;4093
1683400445098;4095;1683400445098;4091
1683400445099;4090;1683400445099;4091
1683400445099;4085;1683400445099;4064
1683400445100;4090;1683400445100;4088
1683400445100;4092;1683400445100;4091
1683400445101;4093;1683400445101;4091
1683400445101;4090;1683400445101;4090
