time	V(vout)
9.880952380952378e-004	1.137864e+000
9.883928571428567e-004	1.138021e+000
9.913690476190474e-004	1.144446e+000
9.916666666666663e-004	1.144591e+000
9.940476190476188e-004	1.141869e+000
9.943452380952375e-004	1.142025e+000
9.973214285714281e-004	1.148438e+000
9.976190476190471e-004	1.148582e+000
9.999999999999996e-004	1.145851e+000
1.000297619047619e-003	1.146005e+000
1.003273809523809e-003	1.152406e+000
1.003571428571428e-003	1.152549e+000
1.003940476190475e-003	1.152124e+000
1.005952380952381e-003	1.149808e+000
1.006250000000000e-003	1.149961e+000
1.009226190476190e-003	1.156351e+000
1.009523809523809e-003	1.156492e+000
1.011904761904762e-003	1.153742e+000
1.012202380952381e-003	1.153894e+000
1.015178571428571e-003	1.160272e+000
1.015476190476190e-003	1.160413e+000
1.017857142857143e-003	1.157653e+000
1.018154761904761e-003	1.157804e+000
1.021130952380952e-003	1.164170e+000
1.021428571428571e-003	1.164310e+000
1.023809523809523e-003	1.161541e+000
1.024107142857142e-003	1.161690e+000
1.027083333333333e-003	1.168045e+000
1.027380952380952e-003	1.168183e+000
1.029761904761904e-003	1.165405e+000
1.030059523809523e-003	1.165553e+000
1.033035714285714e-003	1.171897e+000
1.033333333333333e-003	1.172034e+000
1.035714285714285e-003	1.169247e+000
1.036011904761904e-003	1.169394e+000
1.038988095238095e-003	1.175726e+000
1.039285714285714e-003	1.175862e+000
